Designator,Mid X,Mid Y,Layer,Rotation
D1,45.5,-9.0,T,0.0
D1,1.5,-9.0,T,0.0
D1,67.5,-9.0,T,0.0
D1,23.5,-9.0,T,0.0
D10,38.5,-11.5,T,270.0
D10,16.5,-11.5,T,270.0
D10,60.5,-11.5,T,270.0
D10,82.5,-11.5,T,270.0
D11,14.0,-11.5,T,270.0
D11,58.0,-11.5,T,270.0
D11,36.0,-11.5,T,270.0
D11,80.0,-11.5,T,270.0
D12,55.5,-11.5,T,270.0
D12,77.5,-11.5,T,270.0
D12,33.5,-11.5,T,270.0
D12,11.5,-11.5,T,270.0
D13,31.0,-11.5,T,270.0
D13,9.0,-11.5,T,270.0
D13,53.0,-11.5,T,270.0
D13,75.0,-11.5,T,270.0
D14,72.5,-11.5,T,270.0
D14,28.5,-11.5,T,270.0
D14,50.5,-11.5,T,270.0
D14,6.5,-11.5,T,270.0
D15,48.0,-11.5,T,270.0
D15,4.0,-11.5,T,270.0
D15,70.0,-11.5,T,270.0
D15,26.0,-11.5,T,270.0
D16,45.5,-11.5,T,270.0
D16,67.5,-11.5,T,270.0
D16,23.5,-11.5,T,270.0
D16,1.5,-11.5,T,270.0
D17,45.5,-14.0,T,0.0
D17,1.5,-14.0,T,0.0
D17,23.5,-14.0,T,0.0
D17,67.5,-14.0,T,0.0
D18,26.0,-13.95,T,0.0
D18,48.0,-13.95,T,0.0
D18,70.0,-13.95,T,0.0
D18,4.0,-13.95,T,0.0
D19,72.5,-14.0,T,0.0
D19,28.5,-14.0,T,0.0
D19,50.5,-14.0,T,0.0
D19,6.5,-14.0,T,0.0
D2,48.0,-9.0,T,0.0
D2,70.0,-9.0,T,0.0
D2,26.0,-9.0,T,0.0
D2,4.0,-9.0,T,0.0
D20,9.0,-14.0,T,0.0
D20,31.0,-14.0,T,0.0
D20,75.0,-14.0,T,0.0
D20,53.0,-14.0,T,0.0
D21,55.5,-14.0,T,0.0
D21,33.5,-14.0,T,0.0
D21,77.5,-14.0,T,0.0
D21,11.5,-14.0,T,0.0
D22,80.0,-14.0,T,0.0
D22,14.0,-14.0,T,0.0
D22,36.0,-14.0,T,0.0
D22,58.0,-14.0,T,0.0
D23,16.5,-14.0,T,0.0
D23,38.5,-14.0,T,0.0
D23,82.5,-14.0,T,0.0
D23,60.5,-14.0,T,0.0
D24,19.0,-14.0,T,0.0
D24,41.0,-14.0,T,0.0
D24,63.0,-14.0,T,0.0
D24,85.0,-14.0,T,0.0
D25,41.0,-16.5,T,270.0
D25,63.0,-16.5,T,270.0
D25,19.0,-16.5,T,270.0
D25,85.0,-16.5,T,270.0
D26,82.5,-16.5,T,270.0
D26,60.5,-16.5,T,270.0
D26,16.5,-16.5,T,270.0
D26,38.5,-16.5,T,270.0
D27,14.0,-16.5,T,270.0
D27,58.0,-16.5,T,270.0
D27,36.0,-16.5,T,270.0
D27,80.0,-16.5,T,270.0
D28,77.5,-16.5,T,270.0
D28,55.5,-16.5,T,270.0
D28,11.5,-16.5,T,270.0
D28,33.5,-16.5,T,270.0
D29,31.0,-16.5,T,270.0
D29,75.0,-16.5,T,270.0
D29,53.0,-16.5,T,270.0
D29,9.0,-16.5,T,270.0
D3,72.5,-9.0,T,0.0
D3,28.5,-9.0,T,0.0
D3,6.5,-9.0,T,0.0
D3,50.5,-9.0,T,0.0
D30,72.5,-16.5,T,270.0
D30,50.5,-16.5,T,270.0
D30,6.5,-16.5,T,270.0
D30,28.5,-16.5,T,270.0
D31,48.0,-16.5,T,270.0
D31,70.0,-16.5,T,270.0
D31,26.0,-16.5,T,270.0
D31,4.0,-16.5,T,270.0
D32,45.5,-16.5,T,270.0
D32,23.5,-16.5,T,270.0
D32,1.5,-16.5,T,270.0
D32,67.5,-16.5,T,270.0
D33,23.5,-19.0,T,0.0
D33,67.5,-19.0,T,0.0
D33,1.5,-19.0,T,0.0
D33,45.5,-19.0,T,0.0
D34,70.0,-19.0,T,0.0
D34,4.0,-19.0,T,0.0
D34,48.0,-19.0,T,0.0
D34,26.0,-19.0,T,0.0
D35,6.5,-19.0,T,0.0
D35,28.5,-19.0,T,0.0
D35,50.5,-19.0,T,0.0
D35,72.5,-19.0,T,0.0
D36,53.0,-19.0,T,0.0
D36,31.0,-19.0,T,0.0
D36,75.0,-19.0,T,0.0
D36,9.0,-19.0,T,0.0
D37,55.5,-19.0,T,0.0
D37,77.5,-19.0,T,0.0
D37,11.5,-19.0,T,0.0
D37,33.5,-19.0,T,0.0
D38,58.0,-19.0,T,0.0
D38,80.0,-19.0,T,0.0
D38,14.0,-19.0,T,0.0
D38,36.0,-19.0,T,0.0
D39,60.5,-19.0,T,0.0
D39,16.5,-19.0,T,0.0
D39,38.5,-19.0,T,0.0
D39,82.5,-19.0,T,0.0
D4,53.0,-9.0,T,0.0
D4,75.0,-9.0,T,0.0
D4,9.0,-9.0,T,0.0
D4,31.0,-9.0,T,0.0
D40,63.0,-19.0,T,0.0
D40,19.0,-19.0,T,0.0
D40,85.0,-19.0,T,0.0
D40,41.0,-19.0,T,0.0
D41,63.0,-21.5,T,270.0
D41,85.0,-21.5,T,270.0
D41,41.0,-21.5,T,270.0
D41,19.0,-21.5,T,270.0
D42,60.5,-21.5,T,270.0
D42,82.5,-21.5,T,270.0
D42,16.5,-21.5,T,270.0
D42,38.5,-21.5,T,270.0
D43,58.0,-21.5,T,270.0
D43,14.0,-21.5,T,270.0
D43,80.0,-21.5,T,270.0
D43,36.0,-21.5,T,270.0
D44,11.5,-21.5,T,270.0
D44,77.5,-21.5,T,270.0
D44,55.5,-21.5,T,270.0
D44,33.5,-21.5,T,270.0
D45,31.0,-21.5,T,270.0
D45,53.0,-21.5,T,270.0
D45,75.0,-21.5,T,270.0
D45,9.0,-21.5,T,270.0
D46,50.5,-21.5,T,270.0
D46,28.5,-21.5,T,270.0
D46,72.5,-21.5,T,270.0
D46,6.5,-21.5,T,270.0
D47,48.0,-21.5,T,270.0
D47,4.0,-21.5,T,270.0
D47,26.0,-21.5,T,270.0
D47,70.0,-21.5,T,270.0
D48,1.5,-21.5,T,270.0
D48,23.5,-21.5,T,270.0
D48,45.5,-21.5,T,270.0
D48,67.5,-21.5,T,270.0
D49,23.5,-24.0,T,0.0
D49,1.5,-24.0,T,0.0
D49,67.5,-24.0,T,0.0
D49,45.5,-24.0,T,0.0
D5,55.5,-9.0,T,0.0
D5,11.5,-9.0,T,0.0
D5,33.5,-9.0,T,0.0
D5,77.5,-9.0,T,0.0
D50,48.0,-24.0,T,0.0
D50,4.0,-24.0,T,0.0
D50,70.0,-24.0,T,0.0
D50,26.0,-24.0,T,0.0
D51,6.5,-24.0,T,0.0
D51,50.5,-24.0,T,0.0
D51,72.5,-24.0,T,0.0
D51,28.5,-24.0,T,0.0
D52,9.0,-24.0,T,0.0
D52,31.0,-24.0,T,0.0
D52,53.0,-24.0,T,0.0
D52,75.0,-24.0,T,0.0
D53,33.5,-24.0,T,0.0
D53,55.5,-24.0,T,0.0
D53,11.5,-24.0,T,0.0
D53,77.5,-24.0,T,0.0
D54,58.0,-24.0,T,0.0
D54,80.0,-24.0,T,0.0
D54,36.0,-24.0,T,0.0
D54,14.0,-24.0,T,0.0
D55,38.5,-24.0,T,0.0
D55,82.5,-24.0,T,0.0
D55,60.5,-24.0,T,0.0
D55,16.5,-24.0,T,0.0
D56,19.0,-24.0,T,0.0
D56,85.0,-24.0,T,0.0
D56,63.0,-24.0,T,0.0
D56,41.0,-24.0,T,0.0
D57,19.0,-26.5,T,270.0
D57,63.0,-26.5,T,270.0
D57,85.0,-26.5,T,270.0
D57,41.0,-26.5,T,270.0
D58,16.5,-26.5,T,270.0
D58,38.5,-26.5,T,270.0
D58,82.5,-26.5,T,270.0
D58,60.5,-26.5,T,270.0
D59,36.0,-26.5,T,270.0
D59,80.0,-26.5,T,270.0
D59,14.0,-26.5,T,270.0
D59,58.0,-26.5,T,270.0
D6,80.0,-9.0,T,0.0
D6,36.0,-9.0,T,0.0
D6,14.0,-9.0,T,0.0
D6,58.0,-9.0,T,0.0
D60,77.5,-26.5,T,270.0
D60,55.5,-26.5,T,270.0
D60,33.5,-26.5,T,270.0
D60,11.5,-26.5,T,270.0
D61,31.0,-26.5,T,270.0
D61,9.0,-26.5,T,270.0
D61,53.0,-26.5,T,270.0
D61,75.0,-26.5,T,270.0
D62,28.5,-26.5,T,270.0
D62,50.5,-26.5,T,270.0
D62,72.5,-26.5,T,270.0
D62,6.5,-26.5,T,270.0
D63,26.0,-26.5,T,270.0
D63,70.0,-26.5,T,270.0
D63,48.0,-26.5,T,270.0
D63,4.0,-26.5,T,270.0
D64,1.5,-26.5,T,270.0
D64,45.5,-26.5,T,270.0
D64,67.5,-26.5,T,270.0
D64,23.5,-26.5,T,270.0
D7,16.5,-9.0,T,0.0
D7,60.5,-9.0,T,0.0
D7,82.5,-9.0,T,0.0
D7,38.5,-9.0,T,0.0
D8,19.0,-9.0,T,0.0
D8,85.0,-9.0,T,0.0
D8,63.0,-9.0,T,0.0
D8,41.0,-9.0,T,0.0
D9,19.0,-11.5,T,270.0
D9,85.0,-11.5,T,270.0
D9,41.0,-11.5,T,270.0
D9,63.0,-11.5,T,270.0
